,FSCL_YY,OFFC_NM,PGM_NM,Y_YY_DFN_MEDI_KCUR_AMT
1,2013,행정안전부,주택·시설운영및고객지원,5757180
2,2013,행정안전부,주택·시설운영및고객지원,6396965
3,2013,국토해양부,주택시장안정및주거복지향상,5202019
4,2013,국토해양부,주택시장안정및주거복지향상,2650000
5,2013,국토해양부,주택시장안정및주거복지향상,55000000
6,2013,국토해양부,주택시장안정및주거복지향상,137060000
7,2013,국토해양부,주택시장안정및주거복지향상,46091083
8,2013,국토해양부,주택시장안정및주거복지향상,35267000
9,2013,국토해양부,주택시장안정및주거복지향상,40622000
10,2013,행정안전부,주택·시설운영및고객지원,0
11,2013,국토해양부,주택시장안정및주거복지향상,770000
12,2013,국토해양부,주택시장안정및주거복지향상(구입ㆍ전세자금융자),7650000000
13,2013,국토해양부,주택시장안정및주거복지향상,1000000
14,2013,금융위원회,주택금융지원,21433000
15,2013,금융위원회,주택금융지원,120000000
16,2013,금융위원회,주택금융지원,40000000
17,2013,행정안전부,주택·시설운영및고객지원,145228000
18,2013,행정안전부,주택·시설운영및고객지원,247449833
19,2013,국토해양부,주택시장안정및주거복지향상,1152000
20,2013,국토해양부,주택시장안정및주거복지향상,419557000
21,2013,국토해양부,주택시장안정및주거복지향상,2724000
22,2013,국토해양부,주택시장안정및주거복지향상,400000
23,2013,국토해양부,주택시장안정및주거복지향상,425000
24,2013,행정안전부,주택·시설운영및고객지원,0
25,2013,국토해양부,주택시장안정및주거복지향상,59500000
26,2013,국토해양부,주택시장안정및주거복지향상,25500000
27,2013,국토해양부,주택시장안정및주거복지향상,850000
28,2013,국토해양부,주택시장안정및주거복지향상,110000000
29,2013,국토해양부,주택시장안정및주거복지향상,580557000
30,2013,국토해양부,주택시장안정및주거복지향상,42000000
31,2013,국토해양부,주택시장안정및주거복지향상,744000
32,2013,국토해양부,주택시장안정및주거복지향상,400000
33,2013,국토해양부,주택시장안정및주거복지향상,0
34,2013,행정안전부,주택·시설운영및고객지원,205323094
35,2013,국토해양부,주택시장안정및주거복지향상,20898
36,2013,국토해양부,주택시장안정및주거복지향상,432366000
37,2013,행정안전부,주택·시설운영및고객지원,26929024
38,2013,행정안전부,주택·시설운영및고객지원,34424000
39,2013,국토해양부,주택시장안정및주거복지향상,0
40,2013,국토해양부,주택시장안정및주거복지향상,0
41,2013,국토해양부,주택시장안정및주거복지향상,109700000
42,2013,국토해양부,주택시장안정및주거복지향상,640000
43,2013,국토해양부,주택시장안정및주거복지향상,0
44,2013,국토해양부,주택시장안정및주거복지향상,131775000
45,2013,국토해양부,주택시장안정및주거복지향상,20178000
46,2013,국토해양부,주택시장안정및주거복지향상,1583332000
47,2013,행정안전부,주택·시설운영및고객지원,46477834
48,2013,행정안전부,주택·시설운영및고객지원,1918000
49,2013,국토해양부,주택시장안정및주거복지향상,947000
50,2013,국토해양부,주택시장안정및주거복지향상,62690000
51,2014,국토교통부,주택시장안정및주거복지향상,318000
52,2014,안전행정부,주택·시설운영및고객지원,3607000
53,2014,국토교통부,주택시장안정및주거복지향상,757000
54,2014,국토교통부,주택시장안정및주거복지향상,20178000
55,2014,국토교통부,주택시장안정및주거복지향상,52456000
56,2014,안전행정부,주택·시설운영및고객지원,37367000
57,2014,국토교통부,주택시장안정및주거복지향상,1047000
58,2014,국토교통부,주택시장안정및주거복지향상,291593000
59,2014,국토교통부,주택시장안정및주거복지향상,40622000
60,2014,금융위원회,주택금융지원,0
61,2014,안전행정부,주택·시설운영및고객지원,1918000
62,2014,국토교통부,주택시장안정및주거복지향상(구입ㆍ전세자금융자),9364300000
63,2014,국토교통부,주택시장안정및주거복지향상,5744000
64,2014,국토교통부,주택시장안정및주거복지향상,109700000
65,2014,국토교통부,주택시장안정및주거복지향상,941850
66,2014,국토교통부,주택시장안정및주거복지향상,900000
67,2014,국토교통부,주택시장안정및주거복지향상,0
68,2014,국토교통부,주택시장안정및주거복지향상,1498000
69,2014,안전행정부,주택·시설운영및고객지원,393186000
70,2014,국토교통부,주택시장안정및주거복지향상,860000
71,2014,국토교통부,주택시장안정및주거복지향상,21789
72,2014,국토교통부,주택시장안정및주거복지향상,35000000
73,2014,국토교통부,주택시장안정및주거복지향상,15000000
74,2014,국토교통부,주택시장안정및주거복지향상,1592600000
75,2014,안전행정부,주택·시설운영및고객지원,152896000
76,2014,안전행정부,주택·시설운영및고객지원,6325000
77,2014,국토교통부,주택시장안정및주거복지향상,400000
78,2014,국토교통부,주택시장안정및주거복지향상,0
79,2014,국토교통부,주택시장안정및주거복지향상,678853000
80,2014,국토교통부,주택시장안정및주거복지향상,142546000
81,2014,안전행정부,주택·시설운영및고객지원,50479000
82,2014,국토교통부,주택시장안정및주거복지향상,744000
83,2014,국토교통부,주택시장안정및주거복지향상,0
84,2014,안전행정부,주택·시설운영및고객지원,18068000
85,2014,국토교통부,주택시장안정및주거복지향상,423000
86,2014,국토교통부,주택시장안정및주거복지향상,4181000
87,2014,국토교통부,주택시장안정및주거복지향상,190758000
88,2014,국토교통부,주택시장안정및주거복지향상,388600000
89,2014,국토교통부,주택시장안정및주거복지향상,0
90,2014,국토교통부,주택시장안정및주거복지향상,161775000
91,2014,국토교통부,주택시장안정및주거복지향상,500000
92,2014,금융위원회,주택금융지원,0
93,2014,국토교통부,주택시장안정및주거복지향상,640000
94,2014,국토교통부,주택시장안정및주거복지향상,117907000
95,2014,안전행정부,주택·시설운영및고객지원,97307000
96,2014,국토교통부,주택시장안정및주거복지향상,12000000
97,2014,국토교통부,주택시장안정및주거복지향상,400000
98,2014,국토교통부,주택시장안정및주거복지향상,47282342
99,2014,국토교통부,주택시장안정및주거복지향상,3937000
100,2014,국토교통부,주택시장안정및주거복지향상,19605000
101,2014,국토교통부,주택시장안정및주거복지향상,2824000
102,2014,국토교통부,주택시장안정및주거복지향상,110000000
103,2014,국토교통부,주택시장안정및주거복지향상,5202019
104,2014,안전행정부,주택·시설운영및고객지원,15383000
105,2014,국토교통부,주택시장안정및주거복지향상,0
106,2014,금융위원회,주택금융지원,0
107,2014,국토교통부,주택시장안정및주거복지향상,0
108,2014,국토교통부,주택시장안정및주거복지향상,125000000
109,2015,국토교통부,주택시장안정및주거복지향상,0
110,2015,국토교통부,주택시장안정및주거복지향상,7354000
111,2015,국토교통부,주택시장안정및주거복지향상,226102000
112,2015,국토교통부,주택시장안정및주거복지향상,400000
113,2015,국토교통부,주택시장안정및주거복지향상,0
114,2015,국토교통부,주택시장안정및주거복지향상,385925000
115,2015,국토교통부,주택시장안정및주거복지향상,143000000
116,2015,국토교통부,주택시장안정및주거복지향상,0
117,2015,안전행정부,주택·시설운영및고객지원,0
118,2015,국토교통부,주택시장안정및주거복지향상,1557000000
119,2015,안전행정부,주택·시설운영및고객지원,14258000
120,2015,국토교통부,주택시장안정및주거복지향상,0
121,2015,국토교통부,주택시장안정및주거복지향상,310238000
122,2015,안전행정부,주택·시설운영및고객지원,1975000
123,2015,국토교통부,주택시장안정및주거복지향상,1335000
124,2015,국토교통부,주택시장안정및주거복지향상,0
125,2015,국토교통부,주택시장안정및주거복지향상,10000
126,2015,국토교통부,주택시장안정및주거복지향상,100000
127,2015,국토교통부,주택시장안정및주거복지향상,1147000
128,2015,국토교통부,주택시장안정및주거복지향상,0
129,2015,국토교통부,주택시장안정및주거복지향상,1294000
130,2015,국토교통부,주택시장안정및주거복지향상,24100000
131,2015,국토교통부,주택시장안정및주거복지향상(구입ㆍ전세자금융자),9066000000
132,2015,안전행정부,주택·시설운영및고객지원,158343000
133,2015,국토교통부,주택시장안정및주거복지향상,23000
134,2015,국토교통부,주택시장안정및주거복지향상,158647000
135,2015,국토교통부,주택시장안정및주거복지향상,0
136,2015,국토교통부,주택시장안정및주거복지향상,600000
137,2015,안전행정부,주택·시설운영및고객지원,2480000
138,2015,국토교통부,주택시장안정및주거복지향상,47343119
139,2015,국토교통부,주택시장안정및주거복지향상,1348000
140,2015,국토교통부,주택시장안정및주거복지향상,0
141,2015,국토교통부,주택시장안정및주거복지향상,3900000
142,2015,안전행정부,주택·시설운영및고객지원,445610000
143,2015,국토교통부,주택시장안정및주거복지향상,45000
144,2015,국토교통부,주택시장안정및주거복지향상,159260000
145,2015,국토교통부,주택시장안정및주거복지향상,145575000
146,2015,안전행정부,주택·시설운영및고객지원,13220000
147,2015,국토교통부,주택시장안정및주거복지향상,10000
148,2015,국토교통부,주택시장안정및주거복지향상,14098000
149,2015,국토교통부,주택시장안정및주거복지향상,0
150,2015,국토교통부,주택시장안정및주거복지향상,62503000
151,2015,국토교통부,주택시장안정및주거복지향상,200000
152,2015,안전행정부,주택·시설운영및고객지원,8606000
153,2015,국토교통부,주택시장안정및주거복지향상,20000
154,2015,국토교통부,주택시장안정및주거복지향상,0
155,2015,국토교통부,주택시장안정및주거복지향상,58642000
156,2015,국토교통부,주택시장안정및주거복지향상,22086000
157,2015,국토교통부,주택시장안정및주거복지향상,1060000
158,2015,국토교통부,주택시장안정및주거복지향상,500542000
159,2015,국토교통부,주택시장안정및주거복지향상,0
160,2015,국토교통부,주택시장안정및주거복지향상,115000000
161,2015,국토교통부,주택시장안정및주거복지향상,77560000
162,2015,국토교통부,주택시장안정및주거복지향상,828900
163,2015,국토교통부,주택시장안정및주거복지향상,0
164,2015,국토교통부,주택시장안정및주거복지향상,0
165,2015,국토교통부,주택시장안정및주거복지향상,9000000
166,2015,국토교통부,주택시장안정및주거복지향상,384000000
167,2015,안전행정부,주택·시설운영및고객지원,16725000
168,2015,국토교통부,주택시장안정및주거복지향상,4916431
169,2015,안전행정부,주택·시설운영및고객지원,47730000
170,2015,국토교통부,주택시장안정및주거복지향상,107443000
171,2015,국토교통부,주택시장안정및주거복지향상,1061550
172,2015,국토교통부,주택시장안정및주거복지향상,37214000
173,2015,안전행정부,주택·시설운영및고객지원,69654000
174,2015,국토교통부,주택시장안정및주거복지향상,756000
175,2016,국토교통부,주택시장안정및주거복지향상,5500000
176,2016,국토교통부,주택시장안정및주거복지향상,46888979
177,2016,국토교통부,주택시장안정및주거복지향상,832050
178,2016,국토교통부,분양주택등지원,0
179,2016,국토교통부,주택시장안정및주거복지향상,1655100000
180,2016,인사혁신처,주택·시설운영및고객지원,510623142
181,2016,인사혁신처,주택·시설운영및고객지원,622218
182,2016,국토교통부,임대주택지원(융자),0
183,2016,국토교통부,주택시장안정및주거복지향상,30120
184,2016,인사혁신처,주택·시설운영및고객지원,47553000
185,2016,국토교통부,주택시장안정및주거복지향상,2395000
186,2016,국토교통부,분양주택등지원,25500000
187,2016,국토교통부,분양주택등지원,461788000
188,2016,인사혁신처,주택·시설운영및고객지원,2010000
189,2016,국토교통부,분양주택등지원,0
190,2016,인사혁신처,주택·시설운영및고객지원,0
191,2016,국토교통부,주택시장안정및주거복지향상,0
192,2016,국토교통부,임대주택지원(융자),1989936000
193,2016,인사혁신처,주택·시설운영및고객지원,1010000
194,2016,국토교통부,임대주택지원(융자),708594000
195,2016,국토교통부,임대주택지원(융자),211100000
196,2016,국토교통부,주택시장안정및주거복지향상,0
197,2016,인사혁신처,주택·시설운영및고객지원,39000
198,2016,국토교통부,주택시장안정및주거복지향상,0
199,2016,국토교통부,주택시장안정및주거복지향상,4916431
200,2016,국토교통부,주택시장안정및주거복지향상,0
201,2016,국토교통부,주택시장안정및주거복지향상,22086000
202,2016,국토교통부,임대주택지원(출자),159975000
203,2016,국토교통부,주택시장안정및주거복지향상,23540
204,2016,인사혁신처,주택·시설운영및고객지원,0
205,2016,인사혁신처,주택·시설운영및고객지원,3130000
206,2016,인사혁신처,주택·시설운영및고객지원,8723000
207,2016,국토교통부,주택시장안정및주거복지향상,0
208,2016,국토교통부,주택시장안정및주거복지향상,0
209,2016,국토교통부,주택시장안정및주거복지향상,0
210,2016,인사혁신처,주택·시설운영및고객지원,6413502
211,2016,국토교통부,주택시장안정및주거복지향상,1423000
212,2016,국토교통부,주택시장안정및주거복지향상,693000
213,2016,국토교통부,주택시장안정및주거복지향상,0
214,2016,국토교통부,주택시장안정및주거복지향상,900000
215,2016,인사혁신처,주택·시설운영및고객지원,186610
216,2016,국토교통부,주택시장안정및주거복지향상,21700000
217,2016,국토교통부,임대주택지원(출자),14294000
218,2016,국토교통부,임대주택지원(출자),131903000
219,2016,국토교통부,주택시장안정및주거복지향상,100000
220,2016,국토교통부,주택시장안정및주거복지향상,0
221,2016,국토교통부,임대주택지원(융자),0
222,2016,국토교통부,주택시장안정및주거복지향상,142548000
223,2016,국토교통부,주택시장안정및주거복지향상,0
224,2016,국토교통부,주택시장안정및주거복지향상,0
225,2016,국토교통부,임대주택지원(융자),0
226,2016,국토교통부,주택시장안정및주거복지향상,15000
227,2016,국토교통부,주택시장안정및주거복지향상,1247000
228,2016,국토교통부,임대주택지원(융자),0
229,2016,국토교통부,주택시장안정및주거복지향상,909000
230,2016,국토교통부,주택시장안정및주거복지향상,134082000
231,2016,인사혁신처,주택·시설운영및고객지원,796372
232,2016,국토교통부,주택시장안정및주거복지향상,0
233,2016,국토교통부,주택시장안정및주거복지향상,570000
234,2016,국토교통부,주택시장안정및주거복지향상,0
235,2016,국토교통부,주택시장안정및주거복지향상,0
236,2016,국토교통부,임대주택지원(융자),482500000
237,2016,인사혁신처,주택·시설운영및고객지원,1300000
238,2016,인사혁신처,주택·시설운영및고객지원,4580470
239,2016,인사혁신처,주택·시설운영및고객지원,592031
240,2016,인사혁신처,주택·시설운영및고객지원,0
241,2016,인사혁신처,주택·시설운영및고객지원,9273109
242,2016,인사혁신처,주택·시설운영및고객지원,0
243,2016,국토교통부,주택시장안정및주거복지향상,0
244,2016,국토교통부,주택시장안정및주거복지향상,180250
245,2016,국토교통부,주택시장안정및주거복지향상,0
246,2016,인사혁신처,주택·시설운영및고객지원,0
247,2016,인사혁신처,주택·시설운영및고객지원,718939
248,2016,인사혁신처,주택·시설운영및고객지원,379000
249,2016,국토교통부,주택시장안정및주거복지향상,50000000
250,2016,국토교통부,임대주택지원(융자),661583000
251,2016,국토교통부,임대주택지원(출자),52165000
252,2016,국토교통부,임대주택지원(출자),527610000
253,2016,인사혁신처,주택·시설운영및고객지원,65398000
254,2016,인사혁신처,주택·시설운영및고객지원,2877979
255,2016,국토교통부,주택시장안정및주거복지향상,0
256,2016,국토교통부,주택시장안정및주거복지향상,9300000
257,2016,국토교통부,주택시장안정및주거복지향상,0
258,2016,인사혁신처,주택·시설운영및고객지원,0
259,2016,국토교통부,주택시장안정및주거복지향상,14630
260,2016,국토교통부,주택시장안정및주거복지향상,45000
261,2016,국토교통부,임대주택지원(출자),253823000
262,2016,국토교통부,임대주택지원(출자),57176000
263,2016,인사혁신처,주택·시설운영및고객지원,2978000
264,2016,인사혁신처,주택·시설운영및고객지원,3321915
265,2016,인사혁신처,주택·시설운영및고객지원,1406788
266,2016,국토교통부,주택시장안정및주거복지향상,0
267,2016,국토교통부,주택시장안정및주거복지향상,0
268,2016,국토교통부,분양주택등지원,20636000
269,2016,금융위원회,주택금융지원,0
270,2016,국토교통부,주택시장안정및주거복지향상,17727000
271,2016,국토교통부,주택시장안정및주거복지향상,0
272,2016,국토교통부,주택시장안정및주거복지향상,1009960000
273,2016,국토교통부,주택시장안정및주거복지향상,719000
274,2016,국토교통부,주택시장안정및주거복지향상,0
275,2016,국토교통부,임대주택지원(출자),283775000
276,2016,국토교통부,임대주택지원(출자),63456000
277,2016,국토교통부,임대주택지원(출자),962960000
278,2016,인사혁신처,주택·시설운영및고객지원,0
279,2016,인사혁신처,주택·시설운영및고객지원,7897021
280,2016,인사혁신처,주택·시설운영및고객지원,51499000
281,2016,인사혁신처,주택·시설운영및고객지원,1156628
282,2016,국토교통부,주택시장안정및주거복지향상,0
283,2016,국토교통부,주택시장안정및주거복지향상,0
284,2016,국토교통부,분양주택등지원,0
285,2016,국토교통부,임대주택지원(융자),0
286,2016,국토교통부,주택시장안정및주거복지향상,107443000
287,2016,국토교통부,주택시장안정및주거복지향상,657148000
288,2016,국토교통부,임대주택지원(출자),8535000
289,2016,인사혁신처,주택·시설운영및고객지원,9357276
290,2017,국토교통부,주택시장안정및주거복지향상,17500000
291,2017,국토교통부,주택시장안정및주거복지향상,0
292,2017,국토교통부,주택시장안정및주거복지향상,22086000
293,2017,인사혁신처,주택·시설운영및고객지원,0
294,2017,국토교통부,주택시장안정및주거복지향상,0
295,2017,국토교통부,주택시장안정및주거복지향상,2508000
296,2017,국토교통부,주택시장안정및주거복지향상,1473000
297,2017,국토교통부,주택시장안정및주거복지향상,145862000
298,2017,국토교통부,주택시장안정및주거복지향상,4916431
299,2017,국토교통부,주택시장안정및주거복지향상,832050
300,2017,국토교통부,임대주택지원(융자),927472000
301,2017,국토교통부,주택시장안정및주거복지향상,19782000
302,2017,국토교통부,주택시장안정및주거복지향상,1550000
303,2017,국토교통부,주택시장안정및주거복지향상,0
304,2017,국토교통부,주택시장안정및주거복지향상,23363000
305,2017,국토교통부,주택시장안정및주거복지향상,113105000
306,2017,인사혁신처,주택·시설운영및고객지원,5020000
307,2017,인사혁신처,주택·시설운영및고객지원,3527000
308,2017,국토교통부,주택시장안정및주거복지향상,41912154
309,2017,국토교통부,주택시장안정및주거복지향상,0
310,2017,인사혁신처,주택·시설운영및고객지원,52805000
311,2017,국토교통부,주택시장안정및주거복지향상,0
312,2017,국토교통부,주택시장안정및주거복지향상,0
313,2017,국토교통부,임대주택지원(융자),1380690000
314,2017,인사혁신처,주택·시설운영및고객지원,41000
315,2017,국토교통부,임대주택지원(출자),132800000
316,2017,국토교통부,임대주택지원(출자),919912000
317,2017,국토교통부,주택시장안정및주거복지향상,6743000
318,2017,국토교통부,주택시장안정및주거복지향상,0
319,2017,국토교통부,주택시장안정및주거복지향상,0
320,2017,인사혁신처,주택·시설운영및고객지원,8198000
321,2017,인사혁신처,주택·시설운영및고객지원,18000
322,2017,국토교통부,주택시장안정및주거복지향상,1459000
323,2017,국토교통부,주택시장안정및주거복지향상,100000
324,2017,국토교통부,주택시장안정및주거복지향상,0
325,2017,국토교통부,주택시장안정및주거복지향상,0
326,2017,인사혁신처,주택·시설운영및고객지원,0
327,2017,국토교통부,임대주택지원(출자),9000000
328,2017,국토교통부,임대주택지원(출자),1664080000
329,2017,국토교통부,주택시장안정및주거복지향상,693000
330,2017,국토교통부,분양주택등지원,131450000
331,2017,국토교통부,임대주택지원(출자),50497000
332,2017,국토교통부,주택시장안정및주거복지향상,150000
333,2017,국토교통부,주택시장안정및주거복지향상,0
334,2017,국토교통부,주택시장안정및주거복지향상,634007000
335,2017,인사혁신처,주택·시설운영및고객지원,5815000
336,2017,인사혁신처,주택·시설운영및고객지원,21882000
337,2017,국토교통부,주택시장안정및주거복지향상,1030000
338,2017,국토교통부,주택시장안정및주거복지향상,0
339,2017,국토교통부,주택시장안정및주거복지향상,0
340,2017,인사혁신처,주택·시설운영및고객지원,580000
341,2017,인사혁신처,주택·시설운영및고객지원,10327000
342,2017,인사혁신처,주택·시설운영및고객지원,0
343,2017,금융위원회,주택금융지원,0
344,2017,국토교통부,주택시장안정및주거복지향상,5500000
345,2017,국토교통부,주택시장안정및주거복지향상,114818000
346,2017,인사혁신처,주택·시설운영및고객지원,795000
347,2017,인사혁신처,주택·시설운영및고객지원,0
348,2017,인사혁신처,주택·시설운영및고객지원,881000
349,2017,인사혁신처,주택·시설운영및고객지원,50300000
350,2017,국토교통부,주택시장안정및주거복지향상,0
351,2017,국토교통부,주택시장안정및주거복지향상,180000
352,2017,국토교통부,주택시장안정및주거복지향상,1647000
353,2017,국토교통부,주택시장안정및주거복지향상,30000
354,2017,인사혁신처,주택·시설운영및고객지원,0
355,2017,인사혁신처,주택·시설운영및고객지원,523000
356,2017,인사혁신처,주택·시설운영및고객지원,9817000
357,2017,국토교통부,임대주택지원(출자),392450000
358,2017,국토교통부,주택시장안정및주거복지향상,0
359,2017,국토교통부,주택시장안정및주거복지향상,200000
360,2017,국토교통부,분양주택등지원,382778000
361,2017,인사혁신처,주택·시설운영및고객지원,2771000
362,2017,인사혁신처,주택·시설운영및고객지원,0
363,2017,국토교통부,임대주택지원(출자),19389000
364,2017,국토교통부,주택시장안정및주거복지향상,30000
365,2017,국토교통부,주택시장안정및주거복지향상,5000
366,2017,국토교통부,주택시장안정및주거복지향상,5000
367,2017,국토교통부,임대주택지원(융자),519950000
368,2017,인사혁신처,주택·시설운영및고객지원,99000
369,2017,국토교통부,임대주택지원(출자),10203000
370,2017,국토교통부,주택시장안정및주거복지향상,24365
371,2017,국토교통부,분양주택등지원,7645000
372,2017,국토교통부,임대주택지원(융자),572500000
373,2017,인사혁신처,주택·시설운영및고객지원,464068000
374,2017,인사혁신처,주택·시설운영및고객지원,100000
375,2017,인사혁신처,주택·시설운영및고객지원,2862000
376,2017,국토교통부,임대주택지원(출자),1000000
377,2017,인사혁신처,주택·시설운영및고객지원,0
378,2017,국토교통부,주택시장안정및주거복지향상,15000
379,2017,국토교통부,임대주택지원(출자),206427000
380,2017,인사혁신처,주택·시설운영및고객지원,0
381,2017,인사혁신처,주택·시설운영및고객지원,614000
382,2017,국토교통부,임대주택지원(융자),1800614000
383,2017,인사혁신처,주택·시설운영및고객지원,659000
384,2017,인사혁신처,주택·시설운영및고객지원,663000
385,2017,인사혁신처,주택·시설운영및고객지원,826000
386,2017,인사혁신처,주택·시설운영및고객지원,0
387,2017,국토교통부,임대주택지원(출자),35471000
388,2017,국토교통부,주택시장안정및주거복지향상,15000
389,2017,국토교통부,주택시장안정및주거복지향상,719000
390,2017,인사혁신처,주택·시설운영및고객지원,0
391,2017,국토교통부,주택시장안정및주거복지향상,918308000
392,2017,국토교통부,주택시장안정및주거복지향상,0
393,2017,인사혁신처,주택·시설운영및고객지원,3395670
394,2017,인사혁신처,주택·시설운영및고객지원,2169000
395,2017,국토교통부,주택시장안정및주거복지향상,0
396,2017,국토교통부,주택시장안정및주거복지향상,7500000
397,2017,인사혁신처,주택·시설운영및고객지원,1067000
398,2017,국토교통부,주택시장안정및주거복지향상,2000000
399,2017,국토교통부,주택시장안정및주거복지향상,1594077000
400,2017,인사혁신처,주택·시설운영및고객지원,0
401,2017,인사혁신처,주택·시설운영및고객지원,0
402,2018,국토교통부,임대주택지원(융자),494248000
403,2018,국토교통부,임대주택지원(출자),595175000
404,2018,인사혁신처,주택·시설운영및고객지원,1823000
405,2018,국토교통부,주택시장안정및주거복지향상,100000
